nohup: ignoring input
Epoch:1/60 || Epochiter:1/23 || loss:1.0687||Batchtime:34.3779||ETA:13:10:41
Epoch:1/60 || Epochiter:2/23 || loss:1.0265||Batchtime:0.1600||ETA:0:03:40
Epoch:1/60 || Epochiter:3/23 || loss:0.9927||Batchtime:0.1495||ETA:0:03:26
Epoch:1/60 || Epochiter:4/23 || loss:0.9425||Batchtime:0.1406||ETA:0:03:13
Epoch:1/60 || Epochiter:5/23 || loss:0.9050||Batchtime:0.1282||ETA:0:02:56
Epoch:1/60 || Epochiter:6/23 || loss:0.8877||Batchtime:0.1422||ETA:0:03:15
Epoch:1/60 || Epochiter:7/23 || loss:0.8588||Batchtime:0.1794||ETA:0:04:06
Epoch:1/60 || Epochiter:8/23 || loss:0.9183||Batchtime:0.1444||ETA:0:03:18
Epoch:1/60 || Epochiter:9/23 || loss:0.7908||Batchtime:0.1374||ETA:0:03:08
Epoch:1/60 || Epochiter:10/23 || loss:0.8110||Batchtime:0.1406||ETA:0:03:12
Epoch:1/60 || Epochiter:11/23 || loss:0.7861||Batchtime:0.1419||ETA:0:03:14
Epoch:1/60 || Epochiter:12/23 || loss:0.8729||Batchtime:0.1408||ETA:0:03:12
Epoch:1/60 || Epochiter:13/23 || loss:0.8372||Batchtime:22.7612||ETA:8:38:57
Epoch:1/60 || Epochiter:14/23 || loss:0.8501||Batchtime:0.1293||ETA:0:02:56
Epoch:1/60 || Epochiter:15/23 || loss:0.7579||Batchtime:0.1297||ETA:0:02:57
Epoch:1/60 || Epochiter:16/23 || loss:0.8042||Batchtime:0.1719||ETA:0:03:54
Epoch:1/60 || Epochiter:17/23 || loss:0.8359||Batchtime:0.1234||ETA:0:02:48
Epoch:1/60 || Epochiter:18/23 || loss:0.7749||Batchtime:0.1357||ETA:0:03:05
Epoch:1/60 || Epochiter:19/23 || loss:0.7907||Batchtime:0.1409||ETA:0:03:11
Epoch:1/60 || Epochiter:20/23 || loss:0.8071||Batchtime:0.1576||ETA:0:03:34
Epoch:1/60 || Epochiter:21/23 || loss:0.8137||Batchtime:0.1286||ETA:0:02:54
Epoch:1/60 || Epochiter:22/23 || loss:0.8427||Batchtime:0.1370||ETA:0:03:06
Epoch:1/60 || Epochiter:23/23 || loss:0.8474||Batchtime:0.1499||ETA:0:03:23
valid_loss:0.012046032585203648,valid_access:0.38492063492063494
Epoch:2/60 || Epochiter:1/23 || loss:0.7702||Batchtime:2.9585||ETA:1:06:54
Epoch:2/60 || Epochiter:2/23 || loss:0.8152||Batchtime:0.0792||ETA:0:01:47
Epoch:2/60 || Epochiter:3/23 || loss:0.7331||Batchtime:0.0861||ETA:0:01:56
Epoch:2/60 || Epochiter:4/23 || loss:0.7611||Batchtime:0.1004||ETA:0:02:15
Epoch:2/60 || Epochiter:5/23 || loss:0.8033||Batchtime:0.0852||ETA:0:01:55
Epoch:2/60 || Epochiter:6/23 || loss:0.8014||Batchtime:0.1620||ETA:0:03:38
Epoch:2/60 || Epochiter:7/23 || loss:0.7467||Batchtime:0.0991||ETA:0:02:13
Epoch:2/60 || Epochiter:8/23 || loss:0.7051||Batchtime:0.0994||ETA:0:02:14
Epoch:2/60 || Epochiter:9/23 || loss:0.7448||Batchtime:0.1000||ETA:0:02:14
Epoch:2/60 || Epochiter:10/23 || loss:0.6795||Batchtime:0.0990||ETA:0:02:13
Epoch:2/60 || Epochiter:11/23 || loss:0.7129||Batchtime:0.1016||ETA:0:02:16
Epoch:2/60 || Epochiter:12/23 || loss:0.6813||Batchtime:0.1219||ETA:0:02:44
Epoch:2/60 || Epochiter:13/23 || loss:0.6665||Batchtime:0.8659||ETA:0:19:24
Epoch:2/60 || Epochiter:14/23 || loss:0.7286||Batchtime:0.1415||ETA:0:03:10
Epoch:2/60 || Epochiter:15/23 || loss:0.7357||Batchtime:0.1409||ETA:0:03:09
Epoch:2/60 || Epochiter:16/23 || loss:0.7094||Batchtime:0.1412||ETA:0:03:09
Epoch:2/60 || Epochiter:17/23 || loss:0.6534||Batchtime:0.1500||ETA:0:03:21
Epoch:2/60 || Epochiter:18/23 || loss:0.6444||Batchtime:0.1281||ETA:0:02:51
Epoch:2/60 || Epochiter:19/23 || loss:0.6419||Batchtime:0.1433||ETA:0:03:11
Epoch:2/60 || Epochiter:20/23 || loss:0.6603||Batchtime:0.1806||ETA:0:04:01
Epoch:2/60 || Epochiter:21/23 || loss:0.6853||Batchtime:0.1498||ETA:0:03:20
Epoch:2/60 || Epochiter:22/23 || loss:0.6665||Batchtime:0.1427||ETA:0:03:10
Epoch:2/60 || Epochiter:23/23 || loss:0.7446||Batchtime:0.1472||ETA:0:03:16
valid_loss:0.0061578815802931786,valid_access:0.6658730158730158
Epoch:3/60 || Epochiter:1/23 || loss:0.6482||Batchtime:2.1173||ETA:0:47:04
Epoch:3/60 || Epochiter:2/23 || loss:0.6514||Batchtime:0.7085||ETA:0:15:44
Epoch:3/60 || Epochiter:3/23 || loss:0.6360||Batchtime:0.1017||ETA:0:02:15
Epoch:3/60 || Epochiter:4/23 || loss:0.5556||Batchtime:0.1003||ETA:0:02:13
Epoch:3/60 || Epochiter:5/23 || loss:0.6509||Batchtime:0.0988||ETA:0:02:11
Epoch:3/60 || Epochiter:6/23 || loss:0.6099||Batchtime:0.1919||ETA:0:04:14
Epoch:3/60 || Epochiter:7/23 || loss:0.7657||Batchtime:0.1851||ETA:0:04:05
Epoch:3/60 || Epochiter:8/23 || loss:0.5851||Batchtime:0.1996||ETA:0:04:24
Epoch:3/60 || Epochiter:9/23 || loss:0.5937||Batchtime:0.1770||ETA:0:03:54
Epoch:3/60 || Epochiter:10/23 || loss:0.6406||Batchtime:0.1977||ETA:0:04:21
Epoch:3/60 || Epochiter:11/23 || loss:0.5426||Batchtime:0.1925||ETA:0:04:14
Epoch:3/60 || Epochiter:12/23 || loss:0.6097||Batchtime:0.1758||ETA:0:03:52
Epoch:3/60 || Epochiter:13/23 || loss:0.6646||Batchtime:0.7046||ETA:0:15:31
Epoch:3/60 || Epochiter:14/23 || loss:0.5702||Batchtime:0.9589||ETA:0:21:06
Epoch:3/60 || Epochiter:15/23 || loss:0.6523||Batchtime:0.9821||ETA:0:21:36
